Generated by http://statistics.gov.scot,2018-02-05T08:36:06+00:00
http://statistics.gov.scot/data/business-site-counts,Business Site Counts
measure type,Count
Industry Sector,All
Number Of Employees,All
Measure (cell values): ,Count(Business Sites)

,,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014
http://statistics.gov.scot/id/statistical-geography/S02001225,Bathgate East,335,330,330,325,335,320,320
http://statistics.gov.scot/id/statistical-geography/S02001219,Bathgate West,130,120,115,110,120,120,125
http://statistics.gov.scot/id/statistical-geography/S02000607,Battlefield,135,150,145,140,140,145,155
http://statistics.gov.scot/id/statistical-geography/S02000215,Baxter Park,75,75,75,75,75,75,80
http://statistics.gov.scot/id/statistical-geography/S02000862,Beith East and Rural,195,190,185,180,200,190,195
http://statistics.gov.scot/id/statistical-geography/S02000864,Beith West,55,50,50,45,45,55,50
http://statistics.gov.scot/id/statistical-geography/S02000241,Bellfield and Kirkstyle,35,35,30,35,35,35,40
http://statistics.gov.scot/id/statistical-geography/S02000898,Bellshill Central,425,435,430,430,440,430,450
http://statistics.gov.scot/id/statistical-geography/S02000892,Bellshill South,125,135,120,110,105,110,130
http://statistics.gov.scot/id/statistical-geography/S02001065,Belmont,95,95,90,85,85,90,85
http://statistics.gov.scot/id/statistical-geography/S02000432,Benbecula and North Ui,205,205,210,200,210,205,205
http://statistics.gov.scot/id/statistical-geography/S02000150,Benderloch Trail,315,310,310,300,325,310,305
http://statistics.gov.scot/id/statistical-geography/S02001047,Berwickshire Central,255,250,245,240,230,225,255
http://statistics.gov.scot/id/statistical-geography/S02001048,Berwickshire East,255,260,260,250,260,255,275
http://statistics.gov.scot/id/statistical-geography/S02001045,Berwickshire West,265,255,265,255,260,250,250
http://statistics.gov.scot/id/statistical-geography/S02001085,"Biggar, Symington, Thankerton and Dolphinton",340,340,345,335,355,370,360
http://statistics.gov.scot/id/statistical-geography/S02000378,"Bingham, Magdalene and the Christians",35,35,30,35,40,35,40
http://statistics.gov.scot/id/statistical-geography/S02000901,Birkenshaw,155,140,140,145,155,145,160
http://statistics.gov.scot/id/statistical-geography/S02001112,"Birniehill, Kelvin and Whitehills East",310,295,300,300,285,280,300
http://statistics.gov.scot/id/statistical-geography/S02000268,Bishopbriggs North and Kenmure,75,85,80,85,95,90,95
http://statistics.gov.scot/id/statistical-geography/S02000264,Bishopbriggs West and Cadder,190,195,220,220,235,245,255
http://statistics.gov.scot/id/statistical-geography/S02001020,Bishopton,85,80,80,80,85,90,95
http://statistics.gov.scot/id/statistical-geography/S02000753,Black Isle North,240,235,245,235,235,230,240
http://statistics.gov.scot/id/statistical-geography/S02000748,Black Isle South,340,325,325,330,330,320,315
http://statistics.gov.scot/id/statistical-geography/S02001212,Blackburn,215,210,245,240,250,270,310
http://statistics.gov.scot/id/statistical-geography/S02000355,Blackford,225,230,210,220,230,225,230
http://statistics.gov.scot/id/statistical-geography/S02000397,Blackhall,210,210,210,210,220,225,235
http://statistics.gov.scot/id/statistical-geography/S02000678,Blackhill and Barmulloch East,25,25,20,25,20,25,35
http://statistics.gov.scot/id/statistical-geography/S02000454,"Blackness, Carriden and Grahamsdyke",115,110,125,125,130,135,135
http://statistics.gov.scot/id/statistical-geography/S02001215,Blackridge,120,115,120,105,110,95,110
http://statistics.gov.scot/id/statistical-geography/S02001205,Blaeberry Hill,75,80,80,75,70,70,70
http://statistics.gov.scot/id/statistical-geography/S02000982,"Blair Atholl, Strathardle and Glenshee",285,290,305,300,295,305,300
http://statistics.gov.scot/id/statistical-geography/S02000709,Blairdardie East,30,25,25,30,30,30,35
http://statistics.gov.scot/id/statistical-geography/S02000711,Blairdardie West,50,55,60,55,55,50,55
http://statistics.gov.scot/id/statistical-geography/S02000978,Blairgowrie East (Rattray),80,75,70,70,70,65,65
http://statistics.gov.scot/id/statistical-geography/S02000977,Blairgowrie West,255,250,250,255,260,260,270
http://statistics.gov.scot/id/statistical-geography/S02001163,Blane Valley,185,180,185,185,190,175,185
http://statistics.gov.scot/id/statistical-geography/S02001143,Blantyre South and Wheatlands,65,65,60,60,70,75,85
http://statistics.gov.scot/id/statistical-geography/S02001144,Blantytre North and Coatshill,155,160,140,145,155,150,145
http://statistics.gov.scot/id/statistical-geography/S02000331,Bonaly and Pentlands,160,155,155,160,170,175,190
http://statistics.gov.scot/id/statistical-geography/S02000418,Bonnington and Pilrig,235,240,215,195,220,240,255
http://statistics.gov.scot/id/statistical-geography/S02000465,Bonnybridge,75,85,80,80,85,90,100
http://statistics.gov.scot/id/statistical-geography/S02000802,Bonnyrigg North,160,170,160,155,160,150,165
http://statistics.gov.scot/id/statistical-geography/S02000800,Bonnyrigg South,40,35,35,40,45,40,40
http://statistics.gov.scot/id/statistical-geography/S02000250,Bonnyton and Town Centre,500,490,475,455,470,460,465
http://statistics.gov.scot/id/statistical-geography/S02000190,Boreland and Ecclefechan,290,305,285,285,280,270,270
http://statistics.gov.scot/id/statistical-geography/S02001168,Borestone,90,90,80,80,85,80,80
http://statistics.gov.scot/id/statistical-geography/S02000423,Boswall and Pilton,65,60,60,75,75,80,80
http://statistics.gov.scot/id/statistical-geography/S02001147,Bothwell North,30,30,35,30,40,40,50
http://statistics.gov.scot/id/statistical-geography/S02001145,Bothwell South,175,180,180,180,200,205,210
http://statistics.gov.scot/id/statistical-geography/S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",40,40,35,35,40,40,40
http://statistics.gov.scot/id/statistical-geography/S02000456,Bowhouse,25,25,25,25,30,30,30
http://statistics.gov.scot/id/statistical-geography/S02000440,Braes Villages,155,150,145,145,145,155,155
http://statistics.gov.scot/id/statistical-geography/S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscraig",35,40,40,45,40,35,35
http://statistics.gov.scot/id/statistical-geography/S02000011,"Braeside, Mannofield, Broomhill and Seafield East",210,230,220,235,255,230,255
http://statistics.gov.scot/id/statistical-geography/S02000013,"Braeside, Mannofield, Broomhill and Seafield North",160,145,175,185,210,230,250
http://statistics.gov.scot/id/statistical-geography/S02000009,"Braeside, Mannofield, Broomhill and Seafield South",120,130,140,145,150,165,175
http://statistics.gov.scot/id/statistical-geography/S02000620,Braidfauld,105,100,90,95,105,115,120
http://statistics.gov.scot/id/statistical-geography/S02000347,Braids,90,85,100,110,115,105,110
http://statistics.gov.scot/id/statistical-geography/S02000126,Brechin East,75,80,70,70,75,70,75
http://statistics.gov.scot/id/statistical-geography/S02000127,Brechin West,180,175,175,175,190,195,200
http://statistics.gov.scot/id/statistical-geography/S02001202,Breich Valley,120,120,125,115,115,150,160
http://statistics.gov.scot/id/statistical-geography/S02001178,Bridge of Allan,230,230,230,245,250,245,240
http://statistics.gov.scot/id/statistical-geography/S02000955,Bridge of Earn and Abernethy,170,175,180,160,155,155,155
http://statistics.gov.scot/id/statistical-geography/S02001008,Bridge of Weir,135,145,155,155,150,130,145
http://statistics.gov.scot/id/statistical-geography/S02000444,"Brightons, Reddingmuirhead and Wallacest",155,150,155,155,165,165,170
http://statistics.gov.scot/id/statistical-geography/S02000438,Broadbay,55,55,60,55,60,65,70
http://statistics.gov.scot/id/statistical-geography/S02000679,Broomhill,140,140,130,140,135,135,145
http://statistics.gov.scot/id/statistical-geography/S02000358,Broomhouse and Sighthill,105,100,105,95,90,100,110
http://statistics.gov.scot/id/statistical-geography/S02000412,Broughton,270,265,270,290,295,330,350
http://statistics.gov.scot/id/statistical-geography/S02000213,Broughty Ferry East,60,65,60,55,60,65,65
http://statistics.gov.scot/id/statistical-geography/S02000206,Broughty Ferry Wes,270,280,285,270,280,290,305
http://statistics.gov.scot/id/statistical-geography/S02001227,Broxburn,330,340,325,325,320,330,335
http://statistics.gov.scot/id/statistical-geography/S02000376,Bruntsfield,220,240,235,230,250,245,220
http://statistics.gov.scot/id/statistical-geography/S02000540,Buckhaven and Muiredge,60,60,60,50,60,55,55
http://statistics.gov.scot/id/statistical-geography/S02000828,Buckie Central East,170,170,170,160,155,155,150
http://statistics.gov.scot/id/statistical-geography/S02000827,Buckie West and Mains of Buckie,165,165,175,170,170,165,160
http://statistics.gov.scot/id/statistical-geography/S02000043,Bucksburn North,285,280,305,310,305,275,295
http://statistics.gov.scot/id/statistical-geography/S02000039,Bucksburn South,80,90,90,90,110,110,125
http://statistics.gov.scot/id/statistical-geography/S02000399,Bughtlin and Parkgrove,70,75,70,75,80,80,90
http://statistics.gov.scot/id/statistical-geography/S02001159,"Burgh, Eastfield and Silverbank",85,85,90,90,95,95,105
http://statistics.gov.scot/id/statistical-geography/S02000829,"Burghead, Roseisle and Laich",105,115,120,110,120,120,120
http://statistics.gov.scot/id/statistical-geography/S02000962,Burghmuir and Oakbank,70,65,75,80,90,90,100
http://statistics.gov.scot/id/statistical-geography/S02001137,Burnbank Central and Udston,105,90,105,115,110,110,105
http://statistics.gov.scot/id/statistical-geography/S02001141,Burnbank North,125,135,125,130,135,135,150
http://statistics.gov.scot/id/statistical-geography/S02001133,Burnbank South and Chantinghall,105,95,95,95,125,120,130
http://statistics.gov.scot/id/statistical-geography/S02001026,Burnfoot and area,55,55,55,60,60,55,60
http://statistics.gov.scot/id/statistical-geography/S02001160,Burnhill and Bankhead North,40,45,40,40,40,45,45
http://statistics.gov.scot/id/statistical-geography/S02001150,Burnside and Springhall,55,60,65,65,65,70,75
http://statistics.gov.scot/id/statistical-geography/S02000495,Burntisland East,40,40,40,45,40,45,45
http://statistics.gov.scot/id/statistical-geography/S02000500,Burntisland West,105,105,105,105,120,120,125
http://statistics.gov.scot/id/statistical-geography/S02000315,Busby,90,85,90,90,90,90,95
http://statistics.gov.scot/id/statistical-geography/S02000132,Bute,115,110,105,110,105,105,105
http://statistics.gov.scot/id/statistical-geography/S02000223,Caird Park,30,20,20,25,35,35,35
http://statistics.gov.scot/id/statistical-geography/S02000490,Cairneyhill and Crombie,65,65,60,60,65,60,70
http://statistics.gov.scot/id/statistical-geography/S02000908,Cairnhill,215,195,205,210,205,205,220
http://statistics.gov.scot/id/statistical-geography/S02000768,Caithness North East,295,290,300,295,295,305,305
http://statistics.gov.scot/id/statistical-geography/S02000767,Caithness North West,355,345,360,360,360,360,370
http://statistics.gov.scot/id/statistical-geography/S02000763,Caithness South,205,205,205,205,215,215,220
http://statistics.gov.scot/id/statistical-geography/S02000921,Caldercruix and Plains,105,115,110,110,110,105,110
http://statistics.gov.scot/id/statistical-geography/S02000350,Calders,45,35,35,35,40,35,40
http://statistics.gov.scot/id/statistical-geography/S02001217,Calderwood,95,95,90,100,100,95,100
http://statistics.gov.scot/id/statistical-geography/S02001136,Calderwood Central,25,25,30,30,35,30,40
http://statistics.gov.scot/id/statistical-geography/S02001138,Calderwood East,25,30,35,25,30,30,25
http://statistics.gov.scot/id/statistical-geography/S02001132,Calderwood West and Nerston,110,95,90,90,90,85,100
http://statistics.gov.scot/id/statistical-geography/S02001182,Callander,215,205,205,205,215,190,200
http://statistics.gov.scot/id/statistical-geography/S02000635,"Calton, Galllowgate and Bridgeton",285,315,305,310,300,280,280
http://statistics.gov.scot/id/statistical-geography/S02001166,Cambusbarron and Carron Vall,115,145,115,110,120,130,125
http://statistics.gov.scot/id/statistical-geography/S02001153,Cambuslang Central,205,195,200,195,200,200,205
http://statistics.gov.scot/id/statistical-geography/S02000459,Camelon East,95,85,80,85,90,80,80
http://statistics.gov.scot/id/statistical-geography/S02000458,Camelon West,25,20,15,15,20,25,25
http://statistics.gov.scot/id/statistical-geography/S02000130,Campbeltown,200,195,185,180,180,165,175
http://statistics.gov.scot/id/statistical-geography/S02000534,Cardenden,110,115,120,120,115,125,125
http://statistics.gov.scot/id/statistical-geography/S02000637,Cardonald North,20,25,25,25,25,25,30
http://statistics.gov.scot/id/statistical-geography/S02000625,Cardonald South and East,85,80,90,80,75,75,80
http://statistics.gov.scot/id/statistical-geography/S02000627,Cardonald West and Central,105,105,115,110,110,115,120
http://statistics.gov.scot/id/statistical-geography/S02000896,Carfin North,115,115,135,125,145,165,180
http://statistics.gov.scot/id/statistical-geography/S02000887,"Carfin, Cleekhimin and New Stevenston",105,105,105,115,115,115,125
http://statistics.gov.scot/id/statistical-geography/S02001100,Carluke East,35,35,35,40,40,35,40
http://statistics.gov.scot/id/statistical-geography/S02001104,Carluke North,80,75,70,75,75,80,85
http://statistics.gov.scot/id/statistical-geography/S02001099,Carluke South,80,80,85,85,85,80,90
http://statistics.gov.scot/id/statistical-geography/S02001103,Carluke West,55,65,60,65,70,65,65
http://statistics.gov.scot/id/statistical-geography/S02000591,Carmunnock North,40,50,50,40,45,45,45
http://statistics.gov.scot/id/statistical-geography/S02000584,Carmunnock South,80,80,70,70,80,80,85
http://statistics.gov.scot/id/statistical-geography/S02000613,Carmyle and Mount Vernon South,65,55,60,55,65,65,70
http://statistics.gov.scot/id/statistical-geography/S02000108,Carnoustie East,150,140,135,140,140,140,145
http://statistics.gov.scot/id/statistical-geography/S02000107,Carnoustie West,95,95,95,95,100,100,105
http://statistics.gov.scot/id/statistical-geography/S02000657,Carntyne,40,45,45,45,55,55,60
http://statistics.gov.scot/id/statistical-geography/S02000648,Carntyne West and Haghill,95,105,100,100,100,100,105
http://statistics.gov.scot/id/statistical-geography/S02000594,Carnwadric East,25,25,20,20,25,25,30
http://statistics.gov.scot/id/statistical-geography/S02000592,Carnwadric West,30,60,30,25,30,30,30
http://statistics.gov.scot/id/statistical-geography/S02000372,Carrick Knowe,35,35,30,40,45,45,40
http://statistics.gov.scot/id/statistical-geography/S02001060,Carrick North,200,190,200,200,200,195,200
http://statistics.gov.scot/id/statistical-geography/S02001057,Carrick South,365,345,345,345,355,365,365
http://statistics.gov.scot/id/statistical-geography/S02000938,Carrickstone,135,150,125,145,155,175,180
http://statistics.gov.scot/id/statistical-geography/S02000474,Carron,55,50,50,60,60,55,55
http://statistics.gov.scot/id/statistical-geography/S02000476,Carronshore,40,35,45,45,45,40,45
http://statistics.gov.scot/id/statistical-geography/S02000480,Carse and Grangemouth Old Town,190,190,200,205,215,220,225
http://statistics.gov.scot/id/statistical-geography/S02001093,"Carstairs, Carstairs Junction and Carnwath",200,200,200,200,210,215,220
